Unnamed: 0,y tonz,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
CC/Other,,,Ecosystems,1,"Does the GSP include water demands for managed wetlands in the historic, current, and projected water budgets?","No: No line item or description of managed wetlands’ water demands in water budgets even if wetlands are discussed in other areas of GSP. No mention of managed wetlands in GSP.  
Somewhat: Managed wetlands are part of the numerical model or spreadsheet model assumptions but not included as a separate line item
Yes: Separate line item for managed wetlands in water budgets","water budget, managed wetlands",No,"Managed wetlands. USDA CropScape dataset shows approximately 3,700 acres of wetlands in the Subbasin (Table 2-2). It is unclear which ones are managed wetlands and natural riparian wetlands. Managed wetlands exist along the Sacramento River and are managed by the Sacramento River National Wildlife Refuge (Figure 2-13).",Page 2-22 / 2.4.5,"1. Is the water budget made with a spreadsheet model or numerical model? Numerical
2. Is there a line for Managed Wetlands in the water budget? No
"
CC/Other,,,Climate Change,1,"Does the GSP incorporate climate change into the projected water budget using DWR change factors or other source? If other, please specify in the Notes. If DWR change factors were used, indicate in the Notes whether the GSP use 2030 factors, 2070 factors, or both?","No: Climate change not incorporated into projected water budget
Somewhat: Use a different climate model other than DWR change factors but description of methodology is unclear
Yes: Climate change is incorporated and methods are clearly stated","water budget, climate change, change factors, 2030, 2070",Yes,"Projected conditions should include a time frame of 50 years into the GSP planning and implementation horizon, including projected climate change, population, and land use changes. To simulate projected conditions, the current model as described above is used with climate change assumptions over a 50-year hydrologic projection. In summary, the projected model includes current land use (2015 and 2018) and water use (2015), while altering climate and hydrology to account for climate change, as projected around 2030 and 2070. As a result, 2 projected water budgets were developed for this GSP, using DWR 2030 and 2070 central tendency climate change projections.",Page 4-15 / 4.1.3.3,"1. Is climate change incorporated? Yes
2. Do they use DWR change factors (climate period analysis), transitory analysis or something else (describe)? DWR change factors
3. If using DWR climate change factors, do they use 2030, 2070 or both? Both 2030 and 2070 Central Tendency"
CC/Other,,,Climate Change,1,"Does the GSP consider multiple climate scenarios (e.g., the 2070 wet and 2070 extremely dry) scenarios in the projected water budget? If there are other scenarios considered in the GSP, please specify in the Notes.","No: Only one climate scenario used
Somewhat: no somewhat for this question
Yes: Multiple climate scenarios used (wet / extremely dry) and provided in projected water budget","projected water budget, 2070",No,"Projected conditions should include a time frame of 50 years into the GSP planning and implementation horizon, including projected climate change, population, and land use changes. To simulate projected conditions, the current model as described above is used with climate change assumptions over a 50-year hydrologic projection. In summary, the projected model includes current land use (2015 and 2018) and water use (2015), while altering climate and hydrology to account for climate change, as projected around 2030 and 2070. As a result, 2 projected water budgets were developed for this GSP, using DWR 2030 and 2070 central tendency climate change projections.",Page 4-15 / 4.1.3.3,"1. If they use DWR climate change factors, which scenarios do they use? (central tendency, extreme wet, extreme dry)
2. If other than DWR factors, which combination(s) of RCP and GCM do they use?
3. If other than DWR factors, do they use an ensemble of models or single model run?"
CC/Other,,,Climate Change,2,Does the GSP incorporate climate change into precipitation inputs for the projected water budget?,"No: Precipitation not adjusted for climate change in inputs for projected water budget
Somewhat: no somewhat for this question
Yes: Precipitation adjusted for climate change either through change factors or other model projections for the projected water budget","projected water budget, precipitation, input",Yes,"Precipitation, evapotranspiration, stream inflow, and surface water diversions were adjusted for the 2030 and 2070 water budgets using publicly available DWR climate change and hydrology data and guidance (DWR, 2018b). In both scenarios, precipitation and ET are projected to increase in the Northern Sacramento Valley, with the 2070 period displaying larger increases in precipitation and ET (Figure 4-33). A more detailed description of projected 2030 and 2070 scenario development is included in Appendix 4-C.",Page 4-66 / 4.4.1,
CC/Other,,,Climate Change,2,Does the GSP incorporate climate change into evapotranspiration inputs for the projected water budget?,"No: Evapotranspiration not adjusted for climate change in projected water budget inputs
Somewhat: no somewhat for this question
Yes: Evapotranspiration adjusted for climate change either through change factors or other model projections in projected water budgets","projected water budget, evapotranspiration, ET, input",Yes,"Precipitation, evapotranspiration, stream inflow, and surface water diversions were adjusted for the 2030 and 2070 water budgets using publicly available DWR climate change and hydrology data and guidance (DWR, 2018b). In both scenarios, precipitation and ET are projected to increase in the Northern Sacramento Valley, with the 2070 period displaying larger increases in precipitation and ET (Figure 4-33). A more detailed description of projected 2030 and 2070 scenario development is included in Appendix 4-C.",Page 4-66 / 4.4.1,
CC/Other,,,Climate Change,2,"Does the GSP incorporate climate change into surface water flow inputs (e.g., imported water, streamflow) for the projected water budget?","No: Surface water inputs are not accounted for in projected water budgets
Somewhat: CC in surface water flows, BUT imported water not adjusted 
Yes: Surface water flows adjusted for climate change (DWR change factors for spreadsheet model, modeled with adjusted precip and ET for numerical model) and if there is imported water, it is adjusted as well.","projected water budget, surface water flow, input",Yes,"Precipitation, evapotranspiration, stream inflow, and surface water diversions were adjusted for the 2030 and 2070 water budgets using publicly available DWR climate change and hydrology data and guidance (DWR, 2018b). In both scenarios, precipitation and ET are projected to increase in the Northern Sacramento Valley, with the 2070 period displaying larger increases in precipitation and ET (Figure 4-33). A more detailed description of projected 2030 and 2070 scenario development is included in Appendix 4-C.
&&
Beneficial users within the Subbasin utilize both surface water and groundwater supplies. The system of canals and other water conveyance infrastructure described in Section 3.1.8.3.2 provides water to agricultural users in addition to designated wildlife and habitat protection areas.
As described in Section 3.1.8.3.2, several canals exist within the Subbasin, but not all of them deliver surface water to users within the Subbasin. The Corning Canal imports water from the Sacramento River in the Red Bluff Subbasin into the Subbasin, which is primarily used for agriculture. Diversions on the Corning Canal provide surface water in the Subbasin, to Corning Water District and Thomes Creek Water District specifically.","Page 4-66 / 4.4.1
Table 4-15","1. Is the water budget made with a numerical model or spreadsheet model? Numerical
2. If spreadsheet, are DWR surface water change factors included? 
3. Is there imported water in the water budget? Is this adjusted for climate change? Yes, water is imported from Red Bluff, and is adjusted for CC"
CC/Other,,,Climate Change,2,Does the GSP incorporate climate change into sea level inputs for the projected water budget?,"No: Does not mention or apply sea level rise into projected water budget though located in vicinity of coastal region
Somewhat: no somewhat for this question
Yes: Clear sea level rise projections under climate change incorporated into projected water budget","projected water budget, sea level, input",Not Applicable,"Seawater intrusion is not an applicable sustainability indicator for the Corning Subbasin GSP, due to its distance from the Pacific Ocean, bays, deltas, or inlets. Therefore, seawater intrusion is not likely to occur in the Corning Subbasin.
The Corning Subbasin does not border any oceanic or deltaic environments and therefore seawater intrusion is not an applicable sustainability indicator in the Subbasin and is not further discussed in this GSP.",Page 3-76 / 3.2.4,
CC/Other,,,Climate Change,2,Does the GSP calculate a sustainable yield based on the projected water budget with climate change incorporated?,"No: Sustainable yield not provided or is not calculated based on projected water budget with climate change
Yes: Sustainable yield is calculated based on projected water budget with climate change (ranges based on different future scenarios is OK)","sustainable yield, projected water budget",Yes,"Groundwater elevations simulated in the projected 2070 model scenario compared to minimum thresholds, indicate undesirable results are unlikely. Therefore, average annual pumping in the 2070 projected simulation can be used as an estimate of sustainable yield for the Subbasin. However, the 2070 groundwater budget indicates an average annual negative change in groundwater storage of 400 AF. Accordingly, this number is subtracted from average annual projected 2070 simulated pumping values to develop the sustainable yield, resulting in a sustainable yield of 171,800 AF of groundwater pumping per year.",Page 4-87 / 4.4.6,Projected SY based off of Projected 2070 WB (after accounting for change in GW storage)
WQ,SUSTAINABLE MANAGEMENT CRITERIA,Undesirable Results,Domestic,1,Does the GSP analyze direct or indirect impacts on domestic drinking wells when defining Undesirable Results for 1) Chronic Lowering of Groundwater Levels and 2) Water Quality (See line 24)?,"NO: no mention Somewhat: explicit mention of drinking water users, but not well analyzed; mention impact on one of the UR, mentioning some of the COCs. YES: clear impact on drinking water users & explanation of all COCs","domestic well, drinking water, undesirable result, groundwater levels, water quality, groundwater quality",No,"For the Subbasin, the groundwater elevation undesirable result is:
• An undesirable result occurs when more than 20% of groundwater elevations measured at RMP wells, drops below the associated minimum threshold during two consecutive years. • In addition, if the water year type (defined as the Sacramento Valley Water Year Index developed by DWR, per the calculation as used in 2021) is dry or critically dry then levels below the minimum threshold are not undesirable if groundwater management allows for recovery in average or wetter years. &&&
6.8.1 Locally Defined Significant and Unreasonable Conditions
Locally defined significant and unreasonable conditions were determined based on discussions with GSA staff, input from CSAB members, and other local stakeholders:
Significant and unreasonable water quality conditions occur if Corning Subbasin GSP projects or management actions cause an increase in the concentration of TDS in groundwater supply wells that leads to adverse impacts on beneficial users or uses of groundwater. &&&
The Undesirable Result occurs when at least 25% of representative monitoring sites exceed the minimum threshold for water quality for two (2) consecutive years at each location where it can be established that GSP implementation is the cause of the exceedance.","
Page 6-33 / 6.6.4.1
Page 6-39 / 6.8.1
Page 6-45 / 6.8.4.1
Appendix 6A","1. Do they mention Drinking water users for UR? No, They just mention beneficial users not explicitly drinking water users
2. Which URs mention Drinking Water Users?
3. Are impacts to Drinking Water users well analyzed? (mention well elevation and quality impacts) 
4. Are all impacts of all COCs described?

They have done a good job setting MT and MO for domestic users and then they define UR, I would give this more close to somewhat, since their only focus for GW elevation was domestic water for MT and MO."
Stakeholder & WQ,,,DACs,1,"Does the GSP analyze direct and indirect impacts on DACs when defining Undesirable Results for 1) Chronic Lowering of Groundwater Levels, and 2) Water Quality (see line 24)?","NO: no mention of DACs Somewhat: mention DACs, but not well analyzed Yes: impacts to DACs analyzed and described (describe impact to DAC well elevations/quality)","disadvantaged communit*, DAC, tribal, tribe, drinking water, undesirable result, groundwater levels, water quality, groundwater quality",No,,,"1. Do they mention DACs for UR? No
2. Which URs mention DACs?
3. Are impacts to DACs well analyzed?

No mention of DACs. "
Stakeholder & WQ,,,Tribes,1,"Does the GSP analyze direct and indirect impacts on Tribes when defining Undesirable Results for 1) Chronic Lowering of Groundwater Levels, 2) Water Quality (see line 24), and 3) Depletions of Interconnected Surface Waters?","NO: no mention of Tribes 
Somewhat: mention Tribes, but not well analyzed
Yes: impacts to tribes analyzed and described (describe impact to Tribal wells/elevations)","disadvantaged communit*, DAC, tribal, tribe, drinking water, undesirable result, groundwater levels, water quality, groundwater quality",No,,,"1. Do they mention Tribes for UR? No
2. Which URs mention Tribes?
3. Are impacts to Tribes well analyzed?

No mention of Tribes. "
ISW/GDE & WQ,,,Ecosystems,1,"Does the GSP analyze direct and indirect impacts on GDEs when defining Undesirable Results for 1) Chronic Lowering of Groundwater Levels, 2) Water Quality, and 3) Depletions of Interconnected Surface Waters?","NO: no mention of GDEs Somewhat: mention GDEs, but not well analyzed; only for 1 or 2 URs Yes: impacts to GDEs analyzed and described ( impacts to specific species - cause and effect ecosystem, e.g. dieback, impacts to habitat)","groundwater dependent ecosystem, GDE, groundwater-dependent ecosystem, instream, environment, undesirable result, groundwater levels, water quality, groundwater quality, depletion of surface water, ISW",Somewhat,"Sacramento River
• Significant and unreasonable depletion of interconnected surface water on the Sacramento River occurs if surface water beneficial users are impacted, such as surface water diverters, riparian habitat, and potential GDEs. The GSAs do not have authority to manage Shasta Lake reservoir releases and are not required to manage surface waters. In addition, impacts on the Sacramento River occurring in Subbasins upstream or adjacent to the Corning Subbasin may occur. Interbasin coordination will be necessary to assess overall impacts, should they occur. • Significant and unreasonable streamflow depletion on the Sacramento River within the Corning Subbasin does not currently occur.
Stony Creek
• Significant and unreasonable depletion of interconnected surface water on Stony Creek occurs if groundwater pumping affects streamflow and impacts any beneficial users (except invasive species) beyond depletions observed in 2015. • Stony Creek is fully adjudicated, and the GSAs do not have authority to manage Black Butte Dam releases and are not required to manage surface waters. • Stony Creek does not provide extensive riparian habitat beyond invasive species (primarily arundo); invasive species are not protected species and should not be considered a beneficial user.
Thomes Creek
• Significant and unreasonable depletion of interconnected surface water on Thomes Creek occurs if groundwater pumping affects streamflow beyond depletions observed in 2015. • Thomes Creek is mostly a disconnected stream and is seasonally dry in lower reaches and does not support significant surface water diversions; invasive species are also prevalent on Thomes Creek and should not be considered beneficial users.
6.10.4.1 Criteria for Defining Chronic Lowering of Groundwater Levels Undesirable Results
By regulation, the depletion of interconnected surface water undesirable result is a quantitative combination of minimum threshold exceedances. For the Subbasin, the undesirable result is: An undesirable result occurs if 20% of RMP wells exceed the minimum threshold during 2 consecutive years.","Page 6-59 / 6.10.1
Page 6-66 / 6.10.4.1
Figure 6-14","1. Do they mention GDEs for UR? Yes
2. Which URs mention GDEs? Only ISW
3. Are impacts to GDEs well analyzed? Somehow,  They have done a good job on ISW, however no mention on WQ or GW elevation.
"
WQ,,Minimum Thresholds,All,2,Does the GSP establish Water Quality minimum thresholds and measurable objectives for the identified constituents/contaminents identified in the plan area (see line 24)? Please identify which constituents have Minimum Thresholds and Measurable Objectives in the Notes.,No - none Somewhat - only some COCs Yes - both,"minimum threshold, water quality, groundwater quality, contaminent, constituent of concern, COC",Somewhat,"The minimum threshold for degraded groundwater for TDS is 750 mg/L at public supply wells. This minimum threshold is more protective than the upper limit SMCL of 1,000 mg/L.
The groundwater quality measurable objective is a TDS concentration of 500 mg/L measured in public supply wells.","Page 6-40 / 6.8.2
Page 6-44 / 6.8.3","1. Are MT and MO set for COCs? Yes
2. Do they set MT and MO for all COCs? Somewhat, just for TDS, not for arsenic and Nitrate"
WQ,,,All,2,"Are Water Quality minimum thresholds based on or within the Maximum Contaminent levels (MCLs)? Answer Yes = for identified constituents; Somewhat = for some of the identified constituents; No = none of the identified constituents; Not Applicable should never be an answer for this question. Note: Secondary MCLs are ok for TDS, sulfate, chloride, manganese, iron.",No - none Somewhat - only some COCs Yes - both,"maximum contaminent level, MCL, minimum threshold, water quality, groundwater quality, contaminent, constituent of concern, COC",Yes,"The minimum threshold for degraded groundwater for TDS is 750 mg/L at public supply wells. This minimum threshold is more protective than the upper limit SMCL of 1,000 mg/L.
The groundwater quality measurable objective is a TDS concentration of 500 mg/L measured in public supply wells.","Page 6-40 / 6.8.2
Page 6-44 / 6.8.3","1. Are MT set at MCL level for COCs? Yes
2. Are all MT set at MCL level? Yes for TDS

"
WQ,,,Drinking Water Users,1,"Does the GSP evaluate the cumulative or indirect impacts of proposed groundwater elevation and water quality minimum thresholds on drinking water users (e.g., domestic wells, municipal water suppliers)? ",NO: no mention Somewhat: mention vaguely &/ only for one MT section YES: mention in both MT sections and use quantitative data to justify/describe,"minimum threshold, disadvantaged communit*, drinking water users, domestic, domestic wells, groundwater levels, water quality, groundwater quality",Yes,"Verify Groundwater Elevations in Domestic Wells Near Key Wells
 Domestic wells within a 2-mile radius of each key well were identified and are shown on Figure 6A-2. The casing depth for each domestic well was available for all wells, whereas other information such as well screen intervals was only available for some wells. Therefore, casing depth was used as a proxy for establishing whether low groundwater levels would impact the domestic well. • Glenn County domestic well data were derived from the county DMS. • Tehama County domestic well data were derived from the DWR well completion report database. • Wells more than 30 years old were excluded because this is the anticipated lifespan of low carbon steel wells, which is the most common casing type used for domestic wells in this area. • The depths of the shallowest 10% and 20% of domestic wells within 2 miles of each key well were deemed to be protective of  relatively shallow domestic wells. • A safety factor of 25 feet was subtracted from the shallow domestic well depths to maintain sufficient water in domestic wells to operate pumps. • Minimum water level measurement (Tehama Trigger Level Method) o All years from historical dataset o Specific year (2012, 2015, 2018) • Average water level minus 2 times the standard deviation (Glenn BMO Method) o Comparable to minimum water level method but statistically removes outliers • Water level linear trend of recent historical data extrapolated to 2042 o Trend of all water level measurements o Annual minimum water level trend The depth of 10% or 20% of the domestic wells within a 2-mile radius of the key well, plus a safety factor of 25 feet to maintain sufficient water in domestic wells to operate pumps, was assessed to establish a protective level for domestic well users. &&&
Minimum thresholds were established as follows:
• For wells that had recent historical (between 2010 and 2019) stable groundwater elevations (stable wells): Minimum fall groundwater elevation since 2012 minus 20-foot buffer
• For wells that had recent historical (between 2010 and 2019) declining groundwater elevations (declining wells): Minimum fall groundwater elevation since 2012 minus 20% of minimum groundwater level depth
6.6.2.2 Minimum Thresholds Impact on Domestic Wells
A review of existing domestic well data from DWR’s Online Well Completion Report Application established that there are currently a number of very shallow wells that are at risk of going dry in drought years. However, the DWR database of domestic wells does not have very accurate locations (many wells are shown at the center of a PLSS section), does not always include construction information, and does not have information about wells that are no longer in use. In addition, it is known that there are extremely shallow wells in the subbasin with depths of less than 50 feet that may not be viable any longer and were or should be replaced to comply with minimum health standards. Recognizing this domestic well data uncertainty, an evaluation of potential domestic well impacts should groundwater levels reach the minimum threshold in all RMP wells, was developed following these assumptions and steps: • Use currently available domestic well data for the 2 counties. • Filter out wells drilled earlier than 1991 (or 30 years old, which is a typical and anticipated lifespan for domestic wells in the area). • Use a 25-foot safety factor on top of shallow domestic well depths to maintain sufficient water in domestic wells to operate pumps. This assumption provides for a very protective (or conservative) approach to estimating potential dry wells, given that many wells will still be able to function with less water in the well casing. • Intersect domestic well depths (with 25-foot safety factor) with groundwater elevation contours of minimum thresholds for the shallow RMP wells (Figure 6-3) and calculate approximate percentage of wells that may be impacted. • Review wells that were potentially dry in 2015 as a frame of reference. &&&
When intersecting the groundwater elevation contours at the minimum threshold for shallow RMPs with the domestic wells, approximately 16% of domestic wells are at risk of getting impacted (Figure 6-6).
As a comparison, fall 2015 groundwater elevation intersected with domestic wells depths showed approximately 4% of domestic wells potentially dry, excluding a large data gap area to the west (Figure 6-7).&&&
Urban land uses and users. The Corning Subbasin has very limited municipal groundwater use, and extensive urban growth is not predicted. In fact, municipal pumping has decreased in recent years due to increased conservation measures which are expected to continue into the future. It is not anticipated that the groundwater elevation minimum threshold will impact urban areas.
Domestic land uses and users. The groundwater elevation minimum thresholds may affect shallow domestic wells, specifically in drought years when more pumping from agricultural wells is anticipated. Shallow domestic wells may become dry, requiring owners to drill deeper wells. A well impact mitigation program may be developed to help shallow domestic well owners. &&&
• Urban land uses and users. Maintaining TDS concentrations at or below the minimum threshold will support beneficial water use for public supply. Exceedance of the minimum threshold would impact public water supply for aesthetic and taste reasons.
• Rural residential land uses and users. Maintaining TDS concentrations at or below the minimum threshold will provide adequate potable water for residential water users. Exceedance of the minimum threshold would impact rural residential potable supplies for aesthetic and taste reasons.&&&","Appendix 6A
Page 6-8 / 6.6.2
Page 6-20 / 6.6.2.2
Page 6-21 / 6.6.2.2
Figure 6-3 thru 6-7
Table 6-3
Page 6-27 / 6.6.2.5
Page 6-43 / 6.8.2.4","1. Do they mention impact of groundwater elevation MT on drinking water users? Yes
2. Do they mention impact of water quality MT on drinking water users? Yes
3. Do they use quantitative data to describe the harm of crossing the MT? Yes

"
Stakeholder & WQ,,,DACs,1,Does the GSP evaluate the cumulative or indirect impacts of proposed groundwater elevation and water quality minimum thresholds on DACs?,NO: no mention Somewhat: mention vaguely &/ only for one MT section YES: mention in both MT sections and use quantitative data to justify/describe,"minimum threshold, disadvantaged communit*, DAC, groundwater levels, water quality, groundwater quality",No,,,"1. Do they mention impact of groundwater elevation MT on DACs? No
2. Do they mention impact of water quality MT on DACs? No
3. Do they use quantitative data to describe the harm to DACs of crossing the MT?

No mention of DACs. "
Stakeholder & WQ,,,Tribes,1,"Does the GSP evaluate the cumulative or indirect impacts of proposed groundwater elevetion, ISW and water quality minimum thresholds on Tribes? ",NO: no mention Somewhat: mention vaguely &/ only for one MT section YES: mention in both MT sections and use quantitative data to justify/describe,"minimum threshold, disadvantaged communit*, DAC, tribal, tribe, groundwater levels, water quality, groundwater quality",No,,,"1. Do they mention impact of groundwater elevation MT on Tribes? No
2. Do they mention impact of water quality MT on Tribes? No
2. Do they mention impact of ISW MT on Tribes? No
4. Do they use quantitative data to describe the harm to Tribess of crossing the MT?

No mention of Tribes. "
ISW/GDE & WQ,,,Ecosystems,1,Does the GSP evaluate the cumulative or indirect impacts of proposed minimum thresholds for groundwater elevations and ISW on GDEs or environmental beneficial users of surface water?,NO: no mention Somewhat: mention vaguely &/ only for one MT section YES: mention in both MT sections and use quantitative data to justify/describe,"minimum threshold, groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, environmental beneficial user, instream, groundwater levels, water quality, groundwater quality, depletion of surface water ISW",Somewhat,"Ecological land uses and users. Groundwater elevation minimum thresholds may limit the amount of groundwater pumping in the Subbasin and may limit growth of industries requiring a substantial amount of groundwater usage. This outcome may benefit ecological land uses and users by curtailing the conversion of native vegetation to other land uses such as agricultural, domestic, or industrial uses, and by reducing pressure on existing ecological land caused by declining groundwater levels. Since groundwater elevation minimum thresholds near interconnected streams are lower than current groundwater elevations, there may be some impacts on GDEs in the Subbasin.&&&
6.10.2 Minimum Thresholds
Section 354.28(c)(5) of the GSP Regulations states that “The minimum threshold for depletions of interconnected surface water shall be the rate or volume of surface water depletions caused by groundwater use that has adverse impacts on beneficial uses of the surface water and may lead to undesirable results.” Section §354.36(b) of the GSP Regulations provide an option for using groundwater elevations as a proxy metric for depletions of interconnected surface water minimum thresholds and measurable objectives. &&&
Groundwater elevation minimum thresholds were established in depletion of interconnected surface water RMP wells near interconnected stream reaches shown in Figure 5-10. This network of 8 wells, which is a subset of the shallow wells for the chronic lowering of groundwater levels RMP, and only includes shallow wells from the DWR observation well clusters, will be refined with the addition of dedicated monitoring wells closer to and in data gap areas of the interconnected streams, as described in the plan implementation section. The minimum thresholds for groundwater levels at surface water depletion RMPs are identical to minimum thresholds for chronic lowering of groundwater RMPs in shallow wells defined in Section 6.6.2. Since the shallow wells near the streams were categorized as stable wells in the chronic lowering of groundwater levels SMC, the minimum threshold at these wells is the minimum fall groundwater elevation since 2012 minus a 20-foot buffer. The minimum thresholds and measurable objectives for individual RMP wells are summarized in Table 6-5.&&&
Beneficial Users of Interconnected Surface Water
The various beneficial uses and users of surface waters were addressed when setting the interconnected surface water depletion minimum thresholds. The categories of beneficial uses and users that were reviewed include: • Riparian water rights holders on the Sacramento River. On Thomes Creek, it is uncertain if any riparian water is still being diverted from this low flow stream. • CVP water rights holders on the Sacramento River: o River flow controlled upstream at Shasta Dam to satisfy Delta outflows and exports, fish habitat, and surface water rights holders o TCCA Diversion to TCC and Corning Canal o Diversion at Glenn Colusa Canal • Stony Creek adjudicated stream with federal water contract holders • Ecological surface water users, including GDEs, but also invasive species along much of the Stony Creek corridor • Recreational surface water users (including protected riparian habitat areas that constitute parks and recreational areas along the Sacramento River) &&&
Ecological land uses and users. The depletion of interconnected surface water minimum thresholds limits impacts on benefits ecological uses and users by preventing significant andunreasonable depletions. However, some additional impacts may occur because groundwater levels, and the associated stream depletions, may be greater than current conditions. &&&","Page 6-27 / 6.6.2.5
Page 6-59 / 6.10.1
Page 6-60 / 6.10.2
page 6-64 / 6.10.2.4
Figure 5-10","1. Do they mention impact of groundwater elevation MT on GDEs? Yes
2. Do they mention impact of ISW MT on GDEs? Yes
3. Do they use quantitative data to describe the harm of crossing each of the MT? Yes for ISW not for GW Elevation
There are data gaps in the surface water depletion RMP network that will be addressed during GSP implementation, particularly along Thomes Creek.
They have identified GDE beneficial users for ISW


"
WQ,,Measurable Objectives,Drinking Water Users,2,Does the GSP consider Drinking Water Users when establishing water quality and groundwater elevation measurable objectives?,NO: no mention Somewhat: mention vaguely &/ only for one MO section YES: mention in both MO sections and justify/describe,"drinking water users, domestic, measurable objective, water quality, groundwater quality, contaminent, constituent of concern, COC",Somewhat,"6.6.3 Measurable Objectives
The measurable objectives for chronic lowering of groundwater levels represent target groundwater elevations that are higher than the minimum thresholds. These measurable objectives provide operational flexibility to ensure that the Subbasin can be managed sustainably over a reasonable range of hydrologic variability. An approach for setting measurable objectives at RMP wells in the Subbasin was developed through review of recent historical data, understanding of subbasin conditions, and discussions with CSAB and stakeholders at a number of CSAB public meetings. Measurable objectives were established as follows: • For stable wells: maximum fall groundwater elevation since 2012 • For declining wells: minimum fall groundwater elevation in 2015 Measurable objectives for the chronic lowering of groundwater levels are summarized in Table 6-3. The measurable objectives are also shown on the hydrographs for each RMP well in Appendix 6B. &&&
An analysis of potential impacts on domestic wells when groundwater levels reach the measurable objective was completed using the same assumptions and steps described in section 6.6.2.2. When intersecting the groundwater elevation contours at the measurable objective for shallow RMPs with the domestic wells, approximately 6% of domestic wells are at risk of getting impacted (Figure 6-10). This is an approximate percentage of wells in the well completion database that were likely unable to access water in recent years and therefore will likely need to be replaced should groundwater levels in the future be lower than or equal to 2015 levels. Wells installed prior to 1990 were not included in the analysis, so areas with older development may be impacted more than areas with newer developments by lowering groundwater levels.This percentage is in line with the approximate percentage of domestic wells that were likely impacted at the height of the 2012-2016 drought around the 2015 timeframe, and thus the measurable objectives will not worsen impacts to domestic wells in the Subbasin. &&&","Page 6-28 / 6.6.3
Table 6-3 
Appendix 6A
Page 6-29 / 6.6.3.1
figure 6-9 thru 6-10","1. Does the GSP mention Drinking Water Users for water quality MO? No
2. Does the GSP mention Drinking Water Users for groundwater elevation MO? Yes
3. Do they justify/evaluate the MOs based on Drinking Water users water needs? Just for GW elevation
"
Stakeholder & WQ,,,DACs,2,Does the GSP consider DACs when establishing water quality and groundwater elevation measurable objectives?,NO: no mention Somewhat: mention vaguely &/ only for one MO section YES: mention in both MO sections and justify/describe,"measurable objectives, disadvantaged communities, DAC",No,,,"1. Does the GSP mention DACs for groundwater elevation MO? No
2. Does the GSP mention DACs for ISW MO? No
3. Do they justify/evaluate the MOs based on DAC water needs?

No mention of DACs. "
Stakeholder & WQ,,,Tribes,2,"Does the GSP consider Tribes when establishing water quality, ISW and groundwater elevation measurable objectives?",NO: no mention Somewhat: mention vaguely &/ only for one MO section YES: mention in both MO sections and justify/describe,"measurable objectives, tribal, tribes",No,,,"1. Does the GSP mention Tribes for WQ MO? No
2. Does the GSP mention Tribes for groundwater elevation MO? No
3. Does the GSP mention Tribes for ISW MO? No
4. Do they justify/evaluate the MOs based on Tribal water needs?

No mention of Tribes. "
ISW/GDE & WQ,,,Ecosystems,2,Does the GSP consider GDEs when establishing ISW and groundwater elevationmeasurable objectives?,NO: no mention Somewhat: mention vaguely &/ only for one MO section YES: mention in both MO sections and justify/describe,"measurable objectives, groundwater dependent ecosystems, environmental beneficial user",No,"6.10.3 Measurable Objectives
The measurable objective for depletion of interconnected surface water was defined using the chronic lowering of groundwater levels measurable objectives as a proxy. Since the shallow wells near the streams were categorized as stable wells in the chronic lowering of groundwater levels SMC, the measurable objective at these wells is the maximum fall groundwater elevation since 2012. The measurable objectives for each depletion of interconnected surface water RMP are listed in Table 6-5.","Table 6-5
Page 6-65 / 6.10.3","1. Does the GSP mention GDEs for ISW MO? No
2. Does the GSP mention GDEs for groundwater elevation MO? No
3. Do they justify/evaluate the MOs based on GDE water needs?

"
