Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Martha/Sara,,,Tribes,2,"Does the GSP consider Tribes when establishing water quality, ISW and groundwater elevation measurable objectives?",NO: no mention Somewhat: mention vaguely &/ only for one MO section YES: mention in both MO sections and justify/describe,"measurable objectives, tribal, tribes",No,,,"1. Does the GSP mention Tribes for ISW MO? No
2. Does the GSP mention Tribes for groundwater elevation MO? NO
3. Does the GSP mention Tribes for ISW MO? No
4. Do they justify/evaluate the MOs based on Tribal water needs? No

",
Becky/Sara,,,Ecosystems,2,Does the GSP consider GDEs when establishing ISW and groundwater elevationmeasurable objectives?,NO: no mention Somewhat: mention vaguely &/ only for one MO section YES: mention in both MO sections and justify/describe,"measurable objectives, groundwater dependent ecosystems, environmental beneficial user",No,,,"1. Does the GSP mention GDEs for ISW MO? No
2. Does the GSP mention GDEs for groundwater elevation MO? NO
3. Do they justify/evaluate the MOs based on GDE water needs? NO

",
Meagan,MONITORING NETWORK,,DACs / Tribes / Drinking Water Users,1,"Do the Representative Monitoring Sites (RMS) in the monitoring network adequately represent water quality conditions around DACs, domestic wells, and Tribes (In the case of data gaps, evaluate proposed monitoring sites)? In the notes, please specify whether RMS for each of the contaminents identified in the basin (see line 24). Answer Yes = existing and proposed monitoring wells are adequately distributed across DAC, domestic well, and Tribal areas; Somewhat = existing and proposed RMS do not adequately cover DAC, domestic well, and Tribal portions of the basin; No = Existing and proposed RMS are not available within DAC, domestic well, and Tribal areas.","NO = RMS are not located within one  mile of any DACs, domestic wells, or tribes
Somewhat = RMS are within one mile of at least one DAC, domestic well or tribe
Yes = RMS are within one mile of ALL DAC, domestic and tribal communities within the basin boundary
","water quality, contaminents, COC, data gap, disadvantaged communit*, DAC",Somewhat,,Figure 2 Pg 16 / Chapter 3,"1. How were WQ RMS listed? (CASGEM ID, lat/long, described) Only mapped (I emailed point contact to get exact long/lat locations) 
2. How many WQ RMS were we able to map? (all, some, none) None
3. Of those mapped, was there a well within 1 mile of DACs? Unable to map but there is one well in the DAC block group
4.Of those mapped, was there a well within 1 mile of Tribes? Unable to map, but no WQ well in tribe area
5. Of those mapped, was there a well within 1 mile of domestic wells? Unable to map, but the three WQ wells are within a mile of a domestic well

Only 3 wells in the WQ monitoring network, Only one is located in a DAC block group, SDACs, tribes and most DACs are not represented by their monitoring",
Meagan,,,DACs / Tribes / Drinking Water Users,1,"Do the Representative Monitoring Sites (RMS) in the monitoring network adequately represent shallow groundwater elevations around DACs, domestic wells, and Tribes (In the case of data gaps, evaluate proposed monitoring sites). In the notes, please specify any deficiencies in the distribution of representative monitoring sites (RMS). Yes = existing and proposed monitoring wells are adequately distributed across DAC, drinking wells, and tribal areas; Somewhat = existing and proposed RMS do not adequately cover DAC, drinking wells, and tribal portions of the basin; No = Existing and proposed RMS are not available within DAC, drinking wells, and tribal areas.","NO = RMS are not located within a mile of any DACs, domestic wells, or tribes
Somewhat = RMS are within one mile of at least one DAC, domestic well or tribe
Yes = RMS are within one mile of ALL DAC, domestic and tribal communities within the basin boundary
","shallow monitoring well, data gap, disadvantaged communit*, DAC, tribal, tribe",Somewhat,,"Figure 1, pg 12 / Chapter 3","1. How were Elevation RMS listed? (CASGEM ID, lat/long, described) Potential monitoring listed as lat/long
2. How many Elevation RMS were we able to map? (all, some, none) All
3. Of those mapped, was there a well within 1 mile of DACs? Yes
4.Of those mapped, was there a well within 1 mile of Tribes? Yes
5. Of those mapped, was there a well within 1 mile of domestic wells? Yes

Proposed monitoring sites have great coverage of the basin including monioring where tribes dacs and sdacs are located. SDACs in the very sourthern portion of the basin will lack monitoring as well as a few DAC areas in the north. Wells with the greatest priority of being constructed are in the main areas where tribes dacs and sdacs are located

",
Becky,,,Environment,1,Does the GSP include a plan to identify and fill shallow monitoring well data gaps around GDEs and ISWs in the monitoring network?,"No plan in place to identify and fill shallow well data gaps around GDEs and ISWs; no potential plan
  = no
Mention of shallow monitoring data gap and need to fill but no detailed plan in monitoring network or PMAs; contradictory statements in different sections; potential PMA; City is handling it = somewhat
GSP has a clear plan to fill spatial and/or temporal data gaps with regards to GDEs and ISWs in monitoring network section or PMAs
. = yes","shallow monitoring well, data gap, groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE ",Somewhat,"""These additional monitoring or information requirements depend on future availability of funding and are not yet considered among the GSP Representative Monitoring Points (RMPs). They will be considered as potential RMPs and may eventually become part of the GSP network at the 5-year GSP update. The list includes :  • Streamflow gauges on the tributaries to Scott River  • Streamflow gauges on the mainstem of Scott River  • Wells near the mainstem of Scott River to measure groundwater levels (see Section 3.3.5) for use in SVIHM model calibration, as part of ISW monitoring, and for measuring PMA efficacy.  • Additional biological data that would be useful for monitoring and evaluation of  GDEs including streamflow depletion impacts on juvenile salmonids && As discussed above, the spatial density and distribution of the wells in the monitoring network are sufficient and satisfy DWR’s guidance on well density (DWR 2016). The  current monitoring schedules of monthly measurements in the Community Groundwater Monitoring Wells are sufficient to evaluate seasonal trends, though continuous monitoring probes may be installed in some locations to better monitor the effects of PMAs or implementation of timely management actions. Evaluations of the network will occur on a five-year basis. Additional wells may be added throughout GSP implementation in response to changes in land use, project implementation, or with new water level concerns.""",Page 7 / 3.3 && Page 13 / 3.3.1.2,"1. Is there a plan to fill shallow groundwater wells in the monitoring network section? Somewhat - There is a tentative plan to install wells near the Scott river for the purpose of ISW monitoring, but this is not a gauaranteed plan. No mention of filling specifically shallow groundwater well data.
2.And/OR is there a plan to fill shallow groundwater wells in the PMA section? No
",
Becky,,,Environment,2,Does the GSP include any plans to incorporate GDE-related biological monitoring into the monitoring network?,"No plan or mention of biological monitoring 
  = no
Some coordination with other agencies; Mention of the possibility of future biological monitoring/surveys = somewhat
Clear plans for biological monitoring are described; Remote sensing; field surveys, etc. = yes","GDE Pulse, NDVI, normalized difference vegetation index, biologic*, survey, vegetation, fish",Yes,"Existing biological monitoring that will be used to assess the condition of aquatic and other groundwater-dependent ecosystems includes the CDFW camera trap program and biological surveys conducted by the Siskiyou County RCD (RCD). Since 2008, CDFW has operated a camera trap on the Scott River, near the bottom of the Scott Valley stream system. It is located downstream of the Fort Jones gauge at river mile 18.2 (041º 38’ 10.93” N; 123º 04’ 3.08”W). The camera trap records the passage of migrating salmonids (CDFW 2020). Since 2001, the RCD has collected data on the location and abundance of salmon redds (gravel nests where eggs are laid) in the late fall and early winter. These surveys include recording of redd locations, occurrence of adult spawning salmon (both live and as carcasses), and stream connectivity and flow conditions. Additional biological monitoring data may be used as it becomes available through other organizations and agencies. For GSP and groundwater sustainability monitoring purposes, no data gaps in biological monitoring have been identified at this time.",Page 26 / 3.3.5,"1. Is there a plan in place for biological monitoring, including but not limited to field surveys, remote sensing (NDMI, NDVI), aerial photographs? Yes - Current and possible additional biological monitoring planned",
Sara,PROJECTS & MANAGEMENT ACTIONS,,Environment,2,Does the GSP include any recharge projects with explicit benefits to the environment?,"NO = no recharge &/no mention of benefits, &/ on-going project without coordination. SOMEWHAT = benefits to environment generally &/or on-going project with coordination &/or proposed project;  YES = explicit benefits to environment & the GSPs implementing;","recharge, managed aquifer recharge, MAR, multi-benefit recharge",Somewhat,"Floodplain Reconnection/Expansion 
While little understood, the profound effects of the hydrogeomorphic change in the Basin due to channel straightening and resulting stream incision has historically lowered  groundwater levels and conveyed water out of the valley at a higher rate. The floodplain reconnection/expansion program will reverse some of these historical effects on groundwater dynamics by reconnecting the river to the floodplain and thus, avoiding further channel incision and leading to stable or even increased water level elevations from flooding. This program will involve a series of stream infrastructure improvements. Areas have been identified where such a reconnection can be constructed with relatively minor physical landscape alterations (SRWC 2018). At this time, the assessment is based on physical characteristics and the ability to seasonally inundate the accessed floodplain for recharge. The identified areas may not all be suitable due to existing infrastructure and the need for landowner agreements. However, the areas identified provide an initial assessment of the potential to improve floodplain reconnection as a multi-benefit project,  improving habitat, stream conditions, and increasing recharge. 
Floodplain reconnection/expansion may be achieved using various tools, including a part of the conservation easements program (see above), to expand the use of the conserved property to include ecological habitat flood recharging. &&&
Another option that may be explored is seasonal flooding of pastureland, which also would have multiple benefits, including improved animal forage production with nutrient deposition, and increased recharge. Grazing management would need to be adjusted to a new regime. Floodplain Reconnection/ Expansion would require appropriate permitting from the State Water Board and avoidance of injury to other water rights holders.
Sediment Removal and River Restoration A river restoration project to remove significant sediment from the main stem Scott River from Fort Jones to the mouth of the canyon is envisioned to improve in-stream flow, channel geomorphology, and habitat for fish. Still in the scoping phase, implementation of this project would require additional scoping, studies, planning, identification of funding, obtaining any applicable permits, and implementation. Anticipated benefits from this project include supporting instream flows and increasing the probability and duration of river connection during critical periods to support fish migration and habitat in the lower section of Scott River Valley.",Page 31 / 4.4,"1. Are there projects that involve groundwater recharge? Yes
2. Do those projects list explicit benefits to the environment? Yes
3. Are the projects new, on-going or proposed? Conceptual Phase and the time is to be discussed
4. Are the projects implemented by the GSP or others? GSP 
The floodplain recoonection is recharge project with benefit to environment, however it is in conceptual phase

They do have multiple projects ongoing and in planning phase with explicit benefit to envionrment in but not a recharge project. They also have multiple recharge projects with no explicit mention of environment.
",
Sara,,,Environment,2,"Does the GSP include any habitat or stream restoration or invasive species removal projects (e.g., to improve water supply in the basin or GDE habitats)?",NO = on-going project without coordination. SOMEWHAT = on-going project with coordination &/or proposed project;  YES = the GSPs implementing;,"invasive species, habitat",Yes,"Patterson Creek Wood Loading 
This project, implemented by the Scott River Watershed Council, uses streamside trees that are felled into the channel to create cover, scour pools, increase slow water habitat, and improve floodplain connectivity. Partially completed in 2018 and 2019, additional work is ongoing. The primary benefit from this project includes improvement of spawning habitat for anadromous fish. 
French Creek Wood & Gravel Enhancement 
This Scott River Watershed Council project aims to improve coho salmon spawning and rearing conditions by adding large wood and spawning gravels. Using a phased approach, the first series of wood structures and gravel augmentation began in 2019 with a second phase scheduled to begin late summer of 2021. The primary benefit expected from this project includes habitat improvement for coho salmon. &&&
Beaver Dam Analogues
Beaver dam analogues (BDAs) are instream structures that mimic beaver dams. BDAs can be used to increase beaver abundance and promote watershed restoration.","Page 12 / 4.2
Page 32 / 4.4
Page 8","If yes to projects: YES
1. Are the projects new, on-going or proposed? They have ongoing, planning phase (near term implementation) and conceptual phase projects
2. Are the projects implemented by the GSP or others?  with others, lead agency in all restoration habitat in this basin is Scott River Watershed Council
3. If others, is the GSP coordinating with the others in implementation? Yes
",
Sara,,,All,1,"Does the GSP identify benefits or impacts of identified projects and management actions to key beneficial users such as GDEs, drinking water users, tribes, DACs?","NO = no mention of benefits, &/ on-going project without coordination. SOMEWHAT = benefits to beneficial users broadly &/or on-going project with coordination &/or proposed project;  YES = explicit benefits to environment & the GSPs implementing;","beneficial users, environment, GDE, DAC, trib*",Somewhat,"Patterson Creek Wood Loading 
This project, implemented by the Scott River Watershed Council, uses streamside trees that are felled into the channel to create cover, scour pools, increase slow water habitat, and improve floodplain connectivity. Partially completed in 2018 and 2019, additional work is ongoing. The primary benefit from this project includes improvement of spawning habitat for anadromous fish. 
French Creek Wood & Gravel Enhancement 
This Scott River Watershed Council project aims to improve coho salmon spawning and rearing conditions by adding large wood and spawning gravels. Using a phased approach, the first series of wood structures and gravel augmentation began in 2019 with a second phase scheduled to begin late summer of 2021. The primary benefit expected from this project includes habitat improvement for coho salmon. &&&
Beaver Dam Analogues
Beaver dam analogues (BDAs) are instream structures that mimic beaver dams. BDAs can be used to increase beaver abundance and promote watershed restoration.","Page 12 / 4.2
Page 32 / 4.4
Page 8","1. Do they identify explicity beneficial users?  GDE
2. Do they describe the impact or benefit to the users identified? Yes
3. Across all PMAs, do they include GDEs, drinking water users, Tribes and DACs? If yes, which?  GDE
4. Are the projects proposed, ongoing? They have ongoing, planning phase (near term implementation) and conceptual phase projects
5. Are the projects implemented by GSA or others? with others, lead agency in all restoration habitat in this basin is Scott River Watershed Council

",
Martha/Sara,,,DACs,2,Does the GSP include any recharge projects with explicit benefits to DACs?,"NO = no mention of benefits, &/ on-going project without coordination. SOMEWHAT = benefits to beneficial users broadly &/or on-going project with coordination &/or proposed project;  YES = explicit benefits to environment & the GSPs implementing;","recharge, managed aquifer recharge, MAR",No,"MAR & ILR - NFWF Scott Valley Managed Aquifer Recharge Project Project Description 
The project will divert up to 43 cfs of water from the Scott River into the Scott Valley Irrigation District (SVID) ditch in winter when enough water is available in the river based on CDFW requirements, starting in the winter of 2021 through at least the winter of 2023. This water will be applied on dormant agricultural fields for recharge.&&&
2021 Scott Valley Winter Recharge – Pilot Project Methodology Using existing water rights, the water started to be diverted from the Scott Valley Irrigation Ditch (SVID) on February 10, 2021. During the first week the grower collaborator turned the flood off for a couple of days. The water was running continuously from the second week until the end of March. Water samples from Scott  River, SVID, recharge water, groundwater, and rain have been collected weekly and shipped to UC Davis for isotope analysis. Groundwater levels have been monitored weekly using a water level sounder. Initially,  groundwater levels were measured in one location between the recharge field and Scott River (piezometer access closer to Scott River). A second groundwater level measurement point was added to the pilot project during the third week of recharge (piezometer access closer to the recharge site). During summer 2021, continuous pressure transducers will be installed to measure water levels and temperature in transects across the river near the fields that are expected to be flooded in winter 2022. Outreach to stakeholders is ongoing.","Page 24 , 25 / 4.3","1. Are there projects that involve groundwater recharge? Yes
2. Do those projects list explicit benefits to DACs? No
3. Are the projects new, on-going and proposed? One is active the other in in planning phase
4. Are the projects implemented by the GSP or others? The active one is through Scott Valley Irrigation District, the other one through GSA
5. If others, is the GSP coordinating with the others in implementation? YES,
",
Sara,,,DACs / Drinking Water,,Does the GSP include a drinking water well mitigation program to avoid significiant and unreasonable loss of drinking water?,"NO: No well mitigation program SOMEWHAT: well mitigation program, but not explicitly for drinking water users and DACs &/ proposed or on-going with coordination YES: well mitigation program for drinking water users and DACs","drinking water, well mitigation program",No,,,"1. Is there a well mitigation program? No
2. Is the program new, on-going or proposed?
2. Is the well mitigation program explicitly for drinking water users and DACs?

",
Sara,,,DACs,1,Does the GSP identify potential impacts to water quality from Projects and Management Actions?,"NO = no mention of benefits, &/ on-going project without coordination. SOMEWHAT = benefits to beneficial users broadly &/or on-going project with coordination &/or proposed project;  YES = explicit benefits to environment & the GSPs implementing;","water quality, disadvantaged communit*, DAC",Somewhat,"Expected Benefits 
The primary benefit of MAR and ILR is to reverse streamflow depletion through augmenting baseflow in Scott River during the critical summer and fall periods. This is expected to provide benefits to aquatic species, including anadromous fish (as discussed  in Chapter 2), water quality, and habitat. Potential expected benefits from implementation of these projects were modelled and results are presented in Appendix 4-A. MAR and ILR 794 were modelled both separately and together to identify the benefits associated with each practice, and in combination. Benefits are quantified using relative depletion reversal as a metric (see Section 3.4.5). The potential relative depletion reversal using MAR on 1,390 acres from January to March was found to be 10%. Using available surface water applied to 5,490 acres for ILR during the early growing season, a potential relative depletion reversal of 9% was estimated. The combination of MAR and ILR yielded a potential depletion reversal of 19%.&&&
Expected Benefits This study is expected to provide information on the amount and timing of groundwater  recharge and associated benefits, including to water quality, that will help inform future 
recharge projects. Benefits of future recharge projects are further discussed with SVIHM model results under MAR and ILR (see Section 4.3) and in Appendix 4-A. 
Future benefits of implemented projects on streamflow depletion reversal (and remaining streamflow depletion) will be evaluated and assessed with SVIHM using the methodology described in Section 3.3 and using monitoring data that describes the implementation of this managed aquifer recharge program. &&&
Groundwater Quality – A significant and unreasonable condition for degraded water quality is exceeding drinking water standards for COCs in supply wells due to projects and management actions proposed in the GSP. Groundwater quality could potentially be affected by projects and management action-induced changes in groundwater elevations and gradients. These changes could potentially cause poor quality groundwater to flow towards supply wells that would not have otherwise been impacted.","Page 26 / 4.3
Page 25 / 4.3
Page 41 / 3.4.1.6
","
1. Do those projects list potential impacts to water quality? Yes
2. Are the projects new, on-going or proposed? It is in planning phase, however for the first project they will get temporary permit for winter 2022, to implement it.
3. Are the projects implemented by the GSP or others? GSA 
4. If others, is the GSP coordinating with the others in implementation?
The first paragraph is from ""Managed Aquifer Recharge and In-Lieu Recharge"" project.
The second paragraph is from ""2021 Scott Valley Winter Recharge – Pilot Project Methodology"" project
The third paragraph is from ""Sustainable management critieria"" section, Not sure about keeping this section or not

",
Lauren,OTHER,,,,Does the GSP have plans to use Open ET to monitor groundwater extractions from agriculture?,"No: Open ET not mentioned in GSP
Somewhat: Satellite based evapotranspiration used in analysis and monitoring for future groundwater extractions from agriculture
Yes: Open ET identified as a resource that will be used for monitoring future extractions from agriculture",OpenET,No,,,No mention of using OpenET,
Lauren,,,,,Does the GSP have plans to install meters on wells in the basin?,"No: No mention of installing meters on wells or mentions meters as a DWR recommendation but no plans to install
Somewhat: Mentions potential plans for installing meters in event of exceedance, or identifies need for meters but no details of plans for installation
Yes: Describes plans for installing meters in detail as a planned project  ",meters,Somewhat,"For the purpose of the GSP, pumping curtailments are defined as voluntary or mandatory reductions or limitations in the amount of water a current or future groundwater user can pump from the Basin. This would be applied in the case of a situation where the planned Projects and Management Actions are insufficient to reach and/or maintain sustainability and one or more sustainability indicators are likely to dip below the minimum threshold by 2042. Under such a curtailment scenario, the GSA would first determine, using SVIHM and other hydrologic assessment tools, the amount of water that affected pumpers could take sustainably, and the pumpers would be required to reduce their groundwater extraction to that allocation. All pumpers subject to allocations and curtailment would be required to be metered. Curtailments may be temporary, seasonal, or permanent.",Page 34 / 4.4,"This proposal to have all curtailed pumpers metered is part of a ""potential future project/management action"" and is not certain that such a requirement will be implemented/enforced",
Lauren,,,,,"Does the GSP have plans to implement demand reduction (e.g., pumping cuts) in the basin?","No:  Demand reduction not mentioned 
Somewhat: Mentions potential plans for demand reduction in event of exceedance, or future potential PMAs of demand reduction
Yes: Planned PMAs of demand reduction are described","demand, demand reduction, pumping cuts, demand management",Somewhat,"Strategic Groundwater Pumping Curtailment 
In many of the groundwater basins subject to SGMA throughout the State, pumping restrictions are one of the key components of the GSP. In Scott Valley, the current level of Basin pumping, minus voluntary pumping reductions, can be continued with the effective implementation of Tier I and Tier II PMAs. However, the GSA also acknowledges that pumping curtailments are an effective tool that may need to be used in the future to achieve groundwater sustainability. 
For the purpose of the GSP, pumping curtailments are defined as voluntary or mandatory reductions or limitations in the amount of water a current or future groundwater user can pump from the Basin. This would be applied in the case of a situation where the planned Projects and Management Actions are insufficient to reach and/or maintain sustainability and one or more sustainability indicators are likely to dip below the minimum threshold by 2042. Under such a curtailment scenario, the GSA would first determine, using SVIHM and other hydrologic assessment tools, the amount of water that affected pumpers could take sustainably, and the pumpers would be required to reduce their groundwater extraction to that allocation. All pumpers subject to allocations and curtailment would be required to be metered. Curtailments may be temporary, seasonal, or permanent.",Page 33-34 / 4.4,"This PMA is a potential future project, with no certainty that it will be implemented ",
Lauren,,,,,"Does the GSP have plans to implement supply augmentation (e.g., recharge projects, desalinating brackish groundwater) in the basin to achieve sustainability?","No: No plans in place for supply augmentation
Somewhat: Potential projects or evaluations of feasibility to implement supply augmentation mentioned
Yes: Planned supply augmentation described in detail to achieve sustainability","recharge, managed aquifer recharge, MAR, desalin*, brackish groundwater",Yes,"MAR & ILR - NFWF Scott Valley Managed Aquifer Recharge Project
The project will divert up to 43 cfs of water from the Scott River into the Scott Valley Irrigation District (SVID) ditch in winter when enough water is available in the river based on CDFW requirements, starting in the winter of 2021 through at least the winter of 2023. This water will be applied on dormant agricultural fields for recharge.
&&
This PMA utilizes excess winter and spring flows for recharge to temporarily increase groundwater storage to augment streamflows during critical periods (increased baseflow). The project includes: 
Finding landowners willing to participate. 
Securing project funding. 
Obtaining water rights and other permit requirements, as necessary. 
Constructing infrastructure and installing monitoring equipment, as necessary, to identify potential project impacts and quantify project benefits.","Page 24 / 4.3
Page 26 / 4.3",The GSA plans on implementing an aquifer recharge project starting in winter 2021,
Lauren,,,,,"Do they evaluate whether Project and Management Actions close the gap for current and projected sustainable yield (e.g., overdraft as compared to the projected sustainable yield)? ","No: No mention of sustainable yield or overdraft, or closing the gap through PMAs
Somewhat: PMAs are described to close the gap but are future potential projects
Yes: Planned PMAs are identified as those that close the gap for projected sustainable yield and is demonstrated quantitatively","sustainable yield, overdraft, balance",Somewhat,"To understand the sustainable yield of the basin, the following findings are important: 
• The Basin is not in overdraft. Water levels and groundwater storage have been in a dynamic equilibrium with inflows to and outflows from the aquifer system, with no significant, discernable negative trend in water levels or groundwater storage.
&&
The goal of this MA is to avoid water level declines and additional streamflow depletion in Scott Valley that would result from significant expansion of net groundwater use relative to the practice over the past two decades. Net groundwater use is defined as the difference between groundwater pumping and groundwater recharge in the Basin. Under conditions of long-term stable recharge (from precipitation, irrigation, streams, floods) and long-term stable surface water supplies in the Basin, significant increases in long-term average ET (or other consumptive uses) in the Basin lead to significant increases in long-term average net groundwater use. While not leading to overdraft, such increase of net groundwater use would result in less groundwater discharge toward the Scott River and, hence, lower dynamic equilibrium water levels in the Basin or portions of the Basin, possibly at levels lower than the minimum threshold (MT) for groundwater levels or for interconnected surface water, for significant periods of time (see Chapter 2.2.3.3). This MA helps to ensure that the sustainable yield of the basin is not exceeded (see Chapter 2.2.4) and that sustainable management criteria are met.","Page 131 / 2.2.5
Page 13 / 4.3","This is Tier II project (i.e. ""planned for near-term initiation and implementation""). This PMA is not stated to close the the gap for projected SY as the GSP claims there is no overdraft, but works to avoid exceeding SY.",
Lauren,,,,,Does the GSP reference / propose any new water markets in the basin?,"No: No new water markets referenced or proposed
Somewhat: no somewhat for this question
Yes: New water markets are referenced or proposed",water market,No,"To provide an efficient, effective, and transparent planning tool that allows for new urban, domestic, and agricultural groundwater extraction without increase of total net groundwater use. This can be achieved through exchanges, conservation easements, and other voluntary market mechanisms while also meeting current zoning restrictions for open space, agricultural conservation, etc. (see Chapter 2).",Page 13 / 4.3,"Some mention of using market principles to trade water rights within the basin (so as to allow new extractors/development without greatly increasing the amount of GW pumped), but no mention of new markets for exporting/trading water outside the basin",
Lauren,,,,,"Does the GSP identify the potential impact of climate change on obtaining/crossing thresholds for Sustainable Management Criteria (e.g., as a driver of undesirable result or potential reason for crossing a minimum threshold)?","No: No impacts from climate change referenced in SMC
Somewhat: References climate change impacts but does not identify as a reason for crossing thresholds
Yes: Explicitly identifies climate change as a reason for obtaining/crossing thresholds for SMC",climate change,Yes,"Causes of the overall low flow challenges in the Scott River stream system include consumptive use of surface water and groundwater and climate variability (which must be accounted for in the GSP).
&&
Basin groundwater pumping currently does not exceed the sustainable yield of the Basin (as discussed in Chapter 2). Future decline in water levels in the Basin may occur due to several possible causes, not including overdraft (see Chapter 2.2.3.3):
-Change in Basin pumping distribution and/or volumes. 
-Reduction in natural recharge as a result of climate change, or other sources that reduce recharge or increase groundwater pumping.
Changes in pumping distribution and volume may occur due to significant rural residential, agricultural, and urban growth that depend on groundwater as a water supply. Climate change is expected to raise average annual temperatures and intensify rainfall periods while extending dry periods (CCTAG 2015). Together with resulting vegetation changes in surrounding uplands, climate change may significantly increase or decrease recharge compared to historical conditions. To the degree that climate change may lead to reduced recharge in and runoff from surrounding uplands, stream recharge to the Basin (especially on the upper alluvial fans) will be lower and thus reduce the dynamic equilibrium water level in the Basin (chapter 2.2.3.3). On the other hand, future increased recharge and runoff in the surrounding uplands may have the opposite effects and thus raise water levels in the Basin.","Page 54 / 3.4.5.1
Page 33-34 / 3.4.1.1",Climate change noted as a potential driver of declining GW levels and depletiions of ISW,
Lauren,,,,,"Does the GSP includes details on coordination with water quality control programs (e.g., Regional Water Quality Control Board, CV-Salts)?","No: No mention of RWQCB or it is mentioned but coordination not discussed at all
Somewhat: Recognizes RWQCB as interested party or stakeholder but details of coordination not included
Yes: Coordination between RWQCB and GSA are clearly defined","Regional Water Quality Control Board (RWQCB), CV-Salts",Somewhat,"Water quality monitoring data collected and/or assembled by the NCRWQCB has been used in this GSP to describe current groundwater conditions (see Section 2.2.2.3). Water quality thresholds set by the NCRWQCB for nitrate and specific conductivity in the Basin Plan have been adopted by the GSA as Sustainable Management Criteria for the water quality sustainability indicator (see Chapter 3). NCRWQCB operations may limit operational flexibility and the GSA will seek to coordinate with the NCRWQCB throughout GSP implementation.
--
The GSA has relationships with multiple state and federal agencies, as described in the Section 2.1.2 Monitoring and Management Programs. These state and federal agencies include CDFW, NCRWQB, USFS, DWR and QVIR. The GSA will continue to coordinate and collaborate with these agencies throughout GSP development and implementation.","Page 24 / 2.1.3
Page 41 / 2.1.5.7","Collaboration/coordination mentioned, but specifics are not given",
,,,,,"How many PMAs are there (total #, including tiers)?","No spectrum, just # of PMAs",,24,,,"24 PMAs, including those already ongoing",
,,,,,"Are the PMAs all planned projects?  If not, please elaborate whether projects are proposed and how many are proposed versus planned?","no = all proposed
somewhat = mix of planned and proposed
yes = all planned",,Somewhat,,,"Mix of ongoing (Tier I), planned (Tier II), and potential (i.e. proposed) projects (Tier III)",
